"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen","Check Column","PartyVar","_regNewEngland","_regMidAtlantic","_regENCentral","_regWNCentral","_regSouthAtlantic","_regESCentral","_regWSCentral","_regMountainWest","_regPacific","urb_district_id","urbanPercent"
"PATTY, BRANDON JOEL","H","FL","6","REP","OPEN","2016","male","0","12.5","republican","0","0","0","0","0","1","0","0","0","0","FL62016","81.66"
"PAULSEN, ERIK","H","MN","3","REP","OPEN","2008","male","0","5.970149254","republican","0","0","0","0","1","0","0","0","0","0","MN32008","95.85"
"PAVLOV, PHILLIP S.","H","MI","10","REP","OPEN","2016","male","0","8.181818182","republican","0","0","0","1","0","0","0","0","0","0","MI102016","63.73"
"PEACOCK, EDWIN B III","H","NC","9","REP","OPEN","2012","male","0","10.83333333","republican","0","0","0","0","0","1","0","0","0","0","NC92012","84.18"
"PEARNE, GEORGE","H","CA","41","REP","OPEN","2012","male","0","7.5","republican","0","0","0","0","0","0","0","0","0","1","CA412012","89.37"
"PECK, LOWELL B","H","WA","4","REP","OPEN","2014","male","0","9.183673469","republican","0","0","0","0","0","0","0","0","0","1","WA42014","74.06"
"PEDERSON, JOHN CARROLL","H","MN","6","REP","OPEN","2014","male","0","12.68656716","republican","0","0","0","0","1","0","0","0","0","0","MN62014","69.55"
"PEKAREK, THOMAS","H","OH","11","REP","OPEN","2008","male","0","6.060606061","republican","0","0","0","1","0","0","0","0","0","0","OH112008","100.00"
"PENDERGRAPH, JIM","H","NC","9","REP","OPEN","2012","male","0","10.83333333","republican","0","0","0","0","0","1","0","0","0","0","NC92012","84.18"
"PERRY, JEFFREY DAVIS","H","MA","10","REP","OPEN","2010","male","0","1.875","republican","0","0","0","0","0","0","0","0","0","0","MA102010","92.18"
"PETERS, HERBERT GLENN","H","NV","1","REP","OPEN","2012","male","0","2.380952381","republican","0","0","0","0","0","0","0","0","1","0","NV12012","99.90"
"PETERS, KATHLEEN","H","FL","13","REP","OPEN","2014","female","1","10.83333333","republican","0","0","0","0","0","1","0","0","0","0","FL132014","99.95"
"PETRELLA, CHRISTOPHER","H","NC","11","REP","OPEN","2012","male","0","10.83333333","republican","0","0","0","0","0","1","0","0","0","0","NC112012","43.86"
"PETRI, SCOTT","H","PA","8","REP","OPEN","2016","male","0","11.33004926","republican","0","0","1","0","0","0","0","0","0","0","PA82016","90.48"
"PETTIGREW, WAYNE","H","OK","2","REP","OPEN","2012","male","0","9.900990099","republican","0","0","0","0","0","0","0","1","0","0","OK22012","35.51"
"PFAFF, JAMES R","H","IN","9","REP","OPEN","2016","male","0","10","republican","0","0","0","1","0","0","0","0","0","0","IN92016","64.45"
"PHILLIPS, GEORGE K","H","NY","22","REP","OPEN","2012","male","0","4.666666667","republican","0","0","1","0","0","0","0","0","0","0","NY222012","67.73"
