lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX05052&tabIndex=1,H8TX05052,"ASHBY, KEN",H,TX,5,LIB,CHALLENGER,DALLAS,TX,75218,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0NV00393&tabIndex=1,S0NV00393,"ASHJIAN, SCOTT",S,NV,0,TEA,CHALLENGER,LAS VEGAS,NV,89129,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NH01225&tabIndex=1,H0NH01225,"ASHOOH, RICHARD E",H,NH,1,REP,CHALLENGER,BEDFORD,NH,3110,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0FL00510&tabIndex=1,S0FL00510,"ASKELAND, SUE",S,FL,0,NNE,OPEN,STUART,FL,34994,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NJ09143&tabIndex=1,H0NJ09143,"ASLANIAN, JOHN",H,NJ,9,REP,CHALLENGER,ENGLEWOOD CLIFFS,NJ,7632,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IL09080&tabIndex=1,H0IL09080,"ATANUS, SUSANNE",H,IL,9,REP,CHALLENGER,DES PLAINES,IL,60016,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0IL00436&tabIndex=1,S0IL00436,"ATANUS, SUSANNE",S,IL,0,NNE,CHALLENGER,DES PLAINES,IL,60016,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MD02164&tabIndex=1,H0MD02164,"ATKINS, RAYMOND",H,MD,2,DEM,CHALLENGER,TOWSON,MD,21286,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA10131&tabIndex=1,H0CA10131,"ATTWOOD, TIFFANY",H,CA,10,DEM,CHALLENGER,DANVILLE,CA,94526,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MI07051&tabIndex=1,H0MI07051,"AUGHNEY, SCOTT",H,MI,7,TX,CHALLENGER,JACKSON,MI,49204,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL05065&tabIndex=1,H8IL05065,"AUGUSTSON, ALAN",H,IL,5,GRE,OPEN,CHICAGO,IL,60618,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4AS00036&tabIndex=1,H4AS00036,"AUMUA, AMATA",H,AS,0,REP,CHALLENGER,PAGO PAGO,AS,96799,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0LA02200&tabIndex=1,H0LA02200,"AUSTIN, RON",H,LA,2,IND,CHALLENGER,HARVEY,LA,70059,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8OH07065&tabIndex=1,H8OH07065,"AUSTRIA, STEVE C",H,OH,7,REP,INCUMBENT,BEAVERCREEK,OH,45434,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0TX17088&tabIndex=1,H0TX17088,"AUTEM, JOSEPH WAYNE JR",H,TX,17,REP,CHALLENGER,FORT WORTH,TX,76118,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA40275&tabIndex=1,H6CA40275,"AVALOS, CHRISTINA",H,CA,40,DEM,CHALLENGER,ORANGE ,CA,92866,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0NH00235&tabIndex=1,S0NH00235,"AYOTTE, KELLY A",S,NH,0,REP,OPEN,NASHUA,NH,3064,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0WI04124&tabIndex=1,H0WI04124,"AYYASH, EDDIE AHMAD",H,WI,4,OTH,CHALLENGER,MILWAUKEE,WI,53221,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MP00014&tabIndex=1,H0MP00014,"BABAUTA, JUAN NEKAI",H,MP,0,REP,CHALLENGER,SAIPAN,MP,96950,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA04142&tabIndex=1,H0CA04142,"BABICH, MICHAEL",H,CA,4,REP,CHALLENGER,AUBURN,CA,95603,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA42099&tabIndex=1,H6CA42099,"BACA, JOE",H,CA,43,DEM,INCUMBENT,San Bernardino,CA,92401,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MN06074&tabIndex=1,H6MN06074,"BACHMANN, MICHELE M",H,MN,6,REP,INCUMBENT,WOODBURY,MN,55125,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2AL06035&tabIndex=1,H2AL06035,"BACHUS, SPENCER T.",H,AL,6,REP,INCUMBENT,BIRMINGHAM,AL,35213,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0FL07051&tabIndex=1,H0FL07051,"BACON, STEPHEN",H,FL,7,OTH,CHALLENGER,DEBARY,FL,32713,2010
